*Vertices	43	9				
1	CerSco	diamond				
2	CerSub	diamond				
3	DidAlb	box				
4	DidAur	box				
5	MonDom	box				
6	NecLas	diamond				
7	OliSp	diamond				
8	PhiFre	box				
9	GueIng	diamond				
10	ByrSp	ellipse				
11	CamAda	ellipse				
12	CecHol	ellipse				
13	CecPac	ellipse				
14	CecGla	ellipse				
15	ChiAlb	ellipse				
16	CocAur	ellipse				
17	ErytSp	ellipse				
18	EuphSp	ellipse				
19	FicuSp	ellipse				
20	LeaAur	ellipse				
21	LeaCor	ellipse				
22	LeanSp	ellipse				
23	MicAlb	ellipse				
24	MicLig	ellipse				
25	MicPep	ellipse				
26	MicSp1	ellipse				
27	MorSp1	ellipse				
28	MorSp2	ellipse				
29	MorSp3	ellipse				
30	MorSp5	ellipse				
31	MorSp6	ellipse				
32	MorSp7	ellipse				
33	MorSp8	ellipse				
34	MorSp9	ellipse				
35	MyrSp1	ellipse				
36	MyrSp2	ellipse				
37	PsidSp	ellipse				
38	RubSp1	ellipse				
39	RubSp2	ellipse				
40	SabBra	ellipse				
41	SolaSp	ellipse				
42	TocFor	ellipse				
43	VisBra	ellipse				
*Edges :1		dispersal				
1		16	1			
2		25	1			
2		16	2			
2		14	3			
2		13	9			
2		37	2			
3		26	1			
3		38	3			
3		27	2			
4		24	5			
4		18	8			
4		32	36			
4		13	12			
4		16	1			
4		17	6			
4		36	7			
4		14	4			
5		37	1			
5		34	2			
6		41	5			
6		15	1			
6		37	24			
6		20	12			
6		21	2			
6		34	62			
6		11	1			
6		36	1			
7		32	1			
8		39	1			
*Edges :2		predation				
1		16	6			
2		40	11			
2		25	2			
2		16	19			
2		22	1			
2		14	12			
2		13	13			
2		20	3			
2		33	72			
2		34	9			
3		26	3			
3		42	1			
3		38	1			
3		27	5			
4		23	1			
4		24	50			
4		35	2			
4		18	3			
4		32	19			
4		43	3			
4		13	6			
4		19	2			
4		28	1			
4		17	1			
4		36	2			
4		29	2			
4		14	11			
4		31	1			
5		37	1			
6		41	2			
6		15	3			
6		37	18			
6		20	15			
6		21	4			
6		34	58			
6		11	20			
6		33	10			
6		36	9			
6		22	2			
8		30	1			
8		13	1			
8		12	1			
9		10	2			
